# Insertion (mm)	Intensity at 380.0 nm
0.000000000000000000e+00	1.583464264539999931e+03
2.520000000000000018e-01	1.466520560089999890e+03
5.039000000000000146e-01	1.248434052569999949e+03
7.559000000000000163e-01	1.192816466129999981e+03
1.007900000000000018e+00	1.555146337119999998e+03
1.259800000000000031e+00	1.900060310229999914e+03
1.511800000000000033e+00	1.995493730319999941e+03
1.763800000000000034e+00	1.728196777449999900e+03
2.015699999999999825e+00	1.605195382899999913e+03
2.267700000000000049e+00	1.739465306320000082e+03
2.519699999999999829e+00	1.814450932310000098e+03
2.771700000000000053e+00	1.724122691540000005e+03
3.023600000000000065e+00	1.893094622009999966e+03
3.275599999999999845e+00	1.868892469939999955e+03
3.527600000000000069e+00	2.001138886409999941e+03
3.779500000000000082e+00	2.299230148189999909e+03
4.031500000000000306e+00	2.369155194689999917e+03
4.283500000000000085e+00	2.400325014250000095e+03
4.535400000000000098e+00	2.598663527679999788e+03
4.787399999999999878e+00	2.793750564559999930e+03
5.039399999999999658e+00	2.839563497690000077e+03
5.291299999999999670e+00	2.934191066819999833e+03
5.543300000000000338e+00	3.176343113230000199e+03
5.795300000000000118e+00	3.214921520410000085e+03
6.047200000000000131e+00	3.329089802349999900e+03
6.299199999999999910e+00	3.072041229569999814e+03
6.551199999999999690e+00	2.836116525699999784e+03
6.803099999999999703e+00	2.885814809810000042e+03
7.055100000000000371e+00	2.721680066909999823e+03
7.307100000000000151e+00	2.141394797800000106e+03
7.559099999999999930e+00	2.014085789210000030e+03
7.810999999999999943e+00	1.751493137919999981e+03
8.063000000000000611e+00	1.525456805999999915e+03
8.314999999999999503e+00	1.416794096919999902e+03
8.566900000000000404e+00	1.076848298650000061e+03
8.818899999999999295e+00	1.130568381139999929e+03
9.070899999999999963e+00	1.632509083169999940e+03
9.322800000000000864e+00	2.146172779730000002e+03
9.574799999999999756e+00	2.837751604390000011e+03
9.826800000000000423e+00	3.353695863580000150e+03
1.007869999999999955e+01	4.312795731680000245e+03
1.033070000000000022e+01	7.316239087830000244e+03
1.058270000000000088e+01	9.571806778460000714e+03
1.083460000000000001e+01	1.050350071276999915e+04
1.108660000000000068e+01	1.114093345399999998e+04
1.133859999999999957e+01	1.287183971550000024e+04
1.159060000000000024e+01	1.516936034067000037e+04
1.184249999999999936e+01	1.874559993460999976e+04
1.209450000000000003e+01	2.052839807614999881e+04
1.234650000000000070e+01	2.237914901346999977e+04
1.259839999999999982e+01	2.413020992420000039e+04
1.285040000000000049e+01	2.426601706528000068e+04
1.310239999999999938e+01	2.444763174656000047e+04
1.335430000000000028e+01	2.441335419951999938e+04
1.360629999999999917e+01	2.206363803008999821e+04
1.385829999999999984e+01	2.080998482796000098e+04
1.411020000000000074e+01	1.936219753249000132e+04
1.436219999999999963e+01	1.887497548960000131e+04
1.461420000000000030e+01	2.028650161102999846e+04
1.486609999999999943e+01	2.111918789529000060e+04
1.511810000000000009e+01	2.120088918325999839e+04
1.537010000000000076e+01	1.908002217051999833e+04
1.562199999999999989e+01	1.736204797980000149e+04
1.587400000000000055e+01	1.325154246774999956e+04
1.612600000000000122e+01	9.683799092369999926e+03
1.637800000000000011e+01	7.611866186430000198e+03
1.662989999999999924e+01	6.714492456400000265e+03
1.688190000000000168e+01	7.267091020269999717e+03
1.713390000000000057e+01	8.115709517469999810e+03
1.738579999999999970e+01	9.242166167900000801e+03
1.763779999999999859e+01	9.507867492600000332e+03
1.788980000000000103e+01	9.345723136410000734e+03
1.814170000000000016e+01	9.088157160900000235e+03
1.839369999999999905e+01	8.298972353769999245e+03
1.864570000000000149e+01	7.256796116860000438e+03
1.889760000000000062e+01	6.048386039140000321e+03
1.914959999999999951e+01	4.750577380099999573e+03
1.940159999999999840e+01	3.870254215020000174e+03
1.965350000000000108e+01	3.038268553299999894e+03
1.990549999999999997e+01	2.371446115130000180e+03
2.015749999999999886e+01	1.893701953060000051e+03
2.040940000000000154e+01	1.824143555180000021e+03
2.066140000000000043e+01	1.632124315840000008e+03
2.091339999999999932e+01	1.598654954749999888e+03
2.116540000000000177e+01	1.481929475899999943e+03
2.141730000000000089e+01	1.275450814210000090e+03
2.166929999999999978e+01	1.188098038789999919e+03
2.192129999999999868e+01	1.135206877789999908e+03
2.217320000000000135e+01	9.612623680399999557e+02
2.242520000000000024e+01	8.499281224500000462e+02
2.267719999999999914e+01	7.504256737199999634e+02
2.292909999999999826e+01	6.993394143199999462e+02
2.318110000000000070e+01	5.679779823699999497e+02
2.343309999999999960e+01	6.434393903999999793e+02
2.368499999999999872e+01	6.504528740499999913e+02
2.393700000000000117e+01	4.964833695600000283e+02
2.418900000000000006e+01	5.699267925200000491e+02
2.444089999999999918e+01	5.213498559399999976e+02
2.469290000000000163e+01	4.468807886800000233e+02
2.494490000000000052e+01	5.783651328299999932e+02
2.519689999999999941e+01	5.341388469400000076e+02
2.544879999999999853e+01	4.668649030400000015e+02
2.570080000000000098e+01	5.362021694000000025e+02
2.595279999999999987e+01	4.351489533999999821e+02
2.620469999999999899e+01	4.553115536700000234e+02
2.645670000000000144e+01	4.957684820900000204e+02
2.670870000000000033e+01	5.197969367800000100e+02
2.696059999999999945e+01	4.566036637000000269e+02
2.721259999999999835e+01	5.433695628699999816e+02
2.746460000000000079e+01	5.402008148400000209e+02
2.771649999999999991e+01	5.917794967500000212e+02
2.796849999999999881e+01	5.796045887300000459e+02
2.822050000000000125e+01	5.037375741399999924e+02
2.847240000000000038e+01	6.353257253499999706e+02
2.872439999999999927e+01	6.476565462199999956e+02
2.897640000000000171e+01	6.835647961500000065e+02
2.922830000000000084e+01	5.484608173499999566e+02
2.948029999999999973e+01	5.378532494999999471e+02
2.973229999999999862e+01	5.626045112100000551e+02
2.998430000000000106e+01	5.658885469299999613e+02
3.023620000000000019e+01	5.395281635799999549e+02
3.048819999999999908e+01	6.508211067099999809e+02
3.074020000000000152e+01	6.124976566699999694e+02
3.099210000000000065e+01	5.987313260900000387e+02
3.124409999999999954e+01	5.600665935099999615e+02
3.149609999999999843e+01	5.072664951400000177e+02
3.174800000000000111e+01	5.262886459699999477e+02
3.200000000000000000e+01	6.206755975700000363e+02
